pays,pays_regex,pays_matching,_merge
ALGERIE,ALGERIE,99352,both
ALLEMAGNE,ALLEMAGNE,99109,both
AUSTRALIE,AUSTRALIE,99501,both
Algerie,ALGERIE,99352,both
Allemagne,ALLEMAGNE,99109,both
Australie,AUSTRALIE,99501,both
Autriche,AUTRICHE,99110,both
Azerbaidjan,AZERBAIDJAN,99253,both
BELGIQUE,BELGIQUE,99131,both
Belgique,BELGIQUE,99131,both
Benin,BENIN,99327,both
Bulgarie,BULGARIE,99111,both
Burkina Faso,BURKINA,99331,both
CANADA,CANADA,99401,both
COTE D'IVOIRE,COTEDIVOIRE,99326,both
Cameroun,CAMEROUN,99322,both
Canada,CANADA,99401,both
Centrafricaine (Republique),CENTRAFRICAINEREPUBLIQUE,99323,both
Chine,CHINE,99216,both
Chypre,CHYPRE,99254,both
Colombie,COLOMBIE,99419,both
Congo,CONGO,99324,both
Congo-Kinshasa (Rép. Démo. Du Congo),CONGOREPUBLIQUEDEMOCRATIQUE,99312,both
Coree Du Sud,COREEREPUBLIQUEDE,99239,both
Cote D'Ivoire,COTEDIVOIRE,99326,both
Croatie,CROATIE,99119,both
Cuba,CUBA,99407,both
Côte d'Ivoire,COTEDIVOIRE,99326,both
Danemark,DANEMARK,99101,both
EGYPTE,EGYPTE,99301,both
ESPAGNE,ESPAGNE,99134,both
ETATS-UNIS D'AMERIQUE,ETATSUNIS,99404,both
Egypte,EGYPTE,99301,both
Emirats Arabes Unis,EMIRATSARABESUNIS,99247,both
Espagne,ESPAGNE,99134,both
Estonie,ESTONIE,99106,both
Etats-Unis,ETATSUNIS,99404,both
FRANCE,FRANCE,XXXXX,both
Finlande,FINLANDE,99105,both
France,FRANCE,XXXXX,both
GRECE,GRECE,99126,both
GUATEMALA,GUATEMALA,99409,both
GUINEE,GUINEE,99330,both
Grece,GRECE,99126,both
Grèce,GRECE,99126,both
Guinee,GUINEE,99330,both
Hong-Kong,HONGKONG,99230,both
Hongrie,HONGRIE,99112,both
ILE MAURICE,MAURICE,99390,both
ITALIE,ITALIE,99127,both
Inde,INDE,99223,both
Iran,IRAN,99204,both
Irlande,IRLANDEOUEIRE,99136,both
Israel,ISRAEL,99207,both
Italie,ITALIE,99127,both
Japon,JAPON,99217,both
LUXEMBOURG,LUXEMBOURG,99137,both
Lettonie,LETTONIE,99107,both
Liban,LIBAN,99205,both
Liechtenstein,LIECHTENSTEIN,99113,both
Lituanie,LITUANIE,99108,both
Luxembourg,LUXEMBOURG,99137,both
MAROC,MAROC,99350,both
MONACO,MONACO,99138,both
Madagascar,MADAGASCAR,99333,both
Malaisie,MALAISIE,99227,both
Mali,MALI,99335,both
Malte,MALTE,99144,both
Maroc,MAROC,99350,both
Maurice,MAURICE,99390,both
Monaco,MONACO,99138,both
Norvege,NORVEGE,99103,both
PANAMA,PANAMA,99413,both
PAYS-BAS,PAYSBAS,99135,both
Pays-Bas,PAYSBAS,99135,both
Pologne,POLOGNE,99122,both
Portugal,PORTUGAL,99139,both
Qatar,QATAR,99248,both
ROYAUME-UNI,ROYAUMEUNI,99132,both
Roumanie,ROUMANIE,99114,both
Royaume-Uni,ROYAUMEUNI,99132,both
Russie,RUSSIE,99123,both
République Tchèque,TCHEQUEREPUBLIQUE,99116,both
SENEGAL,SENEGAL,99341,both
SUISSE,SUISSE,99140,both
SWAZILAND,ESWATINI,99391,both
Senegal,SENEGAL,99341,both
Serbie,SERBIE,99121,both
Singapour,SINGAPOUR,99226,both
Slovaquie,SLOVAQUIE,99117,both
Slovenie,SLOVENIE,99145,both
Suede,SUEDE,99104,both
Suisse,SUISSE,99140,both
TUNISIE,TUNISIE,99351,both
Taiwan,TAIWAN,99236,both
Tchad,TCHAD,99344,both
Thailande,THAILANDE,99219,both
Togo,TOGO,99345,both
Tunisie,TUNISIE,99351,both
Turquie,TURQUIE,99208,both
UKRAINE,UKRAINE,99155,both
Ukraine,UKRAINE,99155,both
Venezuela,VENEZUELA,99424,both
Viet Nam,VIETNAM,99243,both
