"siren","code_greffe","nom_greffe","numero_gestion","id_etablissement","status","origin","file_timestamp","date_greffe","libelle_evt","type","siege_pm","rcs_registre","adresse_ligne1","adresse_ligne2","adresse_ligne3","code_postal","ville","code_commune","pays","domiciliataire_nom","domiciliataire_siren","domiciliataire_greffe","domiciliataire_complement","siege_domicile_representant","nom_commercial","enseigne","activite_ambulante","activite_saisonniere","activite_non_sedentaire","date_debut_activite","activite","origine_fonds","origine_fonds_info","type_exploitation","csv_source"
"842729246","7801","Evry","2018A01858","2","","NEW","2018-11-16 09:42:00.000","2018-11-15 00:00:00.000","Etablissement ouvert","PRI","","","7B Rue des Francs Bourgeois","","","91450","Soisy-sur-Seine","91600","FRANCE","","","","","","BCG ENTREPRISES","","non","non","non","2018-10-01","Vente d'accessoires de mode sur internet.","Création","","Exploitation directe","7801_827_20181116_094200_8_ets.csv"
"842729246","7801","Evry","2018A01858","2","","NEW","2018-11-17 08:47:20.000","2018-11-15 00:00:00.000","Etablissement ouvert","PRI","","","7B Rue des Francs Bourgeois","","","91450","Soisy-sur-Seine","91600","FRANCE","","","","","","BCG ENTREPRISES","","non","non","non","2018-10-01","Vente d'accessoires de mode sur internet.","Création","","Exploitation directe","7801_829_20181117_084720_8_ets.csv"
"842729246","7801","Evry","2018A01858","2","","NEW","2018-11-23 09:10:56.000","2018-11-15 00:00:00.000","Etablissement ouvert","PRI","","","7B Rue des Francs Bourgeois","","","91450","Soisy-sur-Seine","91600","FRANCE","","","","","","BCG ENTREPRISES","","non","non","non","2018-10-01","Vente d'accessoires de mode sur internet.","Création","","Exploitation directe","7801_837_20181123_091056_8_ets.csv"
"842729246","7801","Evry","2018A01858","2","","NEW","2018-12-19 09:02:09.000","2018-11-15 00:00:00.000","Etablissement ouvert","PRI","","","7B Rue des Francs Bourgeois","","","91450","Soisy-sur-Seine","91600","FRANCE","","","","","","BCG ENTREPRISES","","non","non","non","2018-10-01","Vente d'accessoires de mode sur internet.","Création","","Exploitation directe","7801_872_20181219_090209_8_ets.csv"
"842729261","7801","Evry","2018A01627","2","","NEW","2018-10-16 08:35:35.000","2018-10-11 00:00:00.000","Etablissement ouvert","PRI","","","7 Bis Avenue Général Leclerc"," Bâtiment les Hêtres","","91330","Yerres","91691","FRANCE","","","","","","TILOTTAMA","","non","non","non","2018-09-28","Vente d'accessoires de mode, petit artisanat et création en ligne de prêt à porter ciblée sur certains articles.","Création","","Exploitation directe","7801_783_20181016_083535_8_ets.csv"
"842729261","7801","Evry","2018A01627","2","","NEW","2018-10-18 08:50:20.000","2018-10-11 00:00:00.000","Etablissement ouvert","PRI","","","7 Bis Avenue Général Leclerc"," Bâtiment les Hêtres","","91330","Yerres","91691","FRANCE","","","","","","TILOTTAMA","","non","non","non","2018-09-28","Vente d'accessoires de mode, petit artisanat et création en ligne de prêt à porter ciblée sur certains articles.","Création","","Exploitation directe","7801_788_20181018_085020_8_ets.csv"
"842729261","7801","Evry","2018A01627","2","","NEW","2018-11-16 09:42:59.000","2018-10-11 00:00:00.000","Etablissement ouvert","PRI","","","7 Bis Avenue Général Leclerc"," Bâtiment les Hêtres","","91330","Yerres","91691","FRANCE","","","","","","TILOTTAMA","","non","non","non","2018-09-28","Vente d'accessoires de mode, petit artisanat et création en ligne de prêt à porter ciblée sur certains articles.","Création","","Exploitation directe","7801_828_20181116_094259_8_ets.csv"
"842729261","7801","Evry","2018A01627","2","","NEW","2018-11-21 08:53:34.000","2018-10-11 00:00:00.000","Etablissement ouvert","PRI","","","7 Bis Avenue Général Leclerc"," Bâtiment les Hêtres","","91330","Yerres","91691","FRANCE","","","","","","TILOTTAMA","","non","non","non","2018-09-28","Vente d'accessoires de mode, petits objets de décoration. ","Création","","Exploitation directe","7801_834_20181121_085334_8_ets.csv"
"842729436","9301","Bobigny","2018A03131","2","","NEW","2018-10-09 08:50:37.000","2018-10-05 00:00:00.000","Etablissement ouvert","PRI","","","11 Rue gaston dourdin","","","93200","Saint-Denis","93066","FRANCE","","","","","","","","non","non","non","2018-10-03","Livraison de repas et de course a domicile à vélo. ","Création","","Exploitation directe","9301_906_20181009_085037_8_ets.csv"
"842729436","9301","Bobigny","2018A03131","2","","NEW","2018-10-11 08:33:46.000","2018-10-05 00:00:00.000","Etablissement ouvert","PRI","","","11 Rue gaston dourdin","","","93200","Saint-Denis","93066","FRANCE","","","","","","","","non","non","non","2018-10-03","Livraison de repas et de course a domicile à vélo. ","Création","","Exploitation directe","9301_910_20181011_083346_8_ets.csv"
"842729451","1303","Marseille","2019A03436","2","","NEW","2019-10-16 09:11:54.000","2019-10-15 00:00:00.000","Etablissement ouvert","PRI","","","19 Rue du Musée","","","13001","Marseille","13201","FRANCE","TAMEL","752540831","Marseille","97 Rue Sauveur Tobelem     13007 Marseille","","ACHI IMAN","","non","non","non","2019-10-03","Vente et achat de produits non règlementée en ligne. ","Création","","Exploitation directe","1303_1320_20191016_091154_8_ets.csv"
"842729477","5001","Cherbourg","2018B00249","1","","NEW","2018-10-05 09:30:44.000","2018-10-04 00:00:00.000","Etablissement ouvert","SEP","","","","14 Maticat","","50340","Sotteville","50580","FRANCE","","","","","","","","non","non","non","2018-10-01","Plomberie, chauffage, électricité, construction, métallique","Création","","Exploitation directe","5001_368_20181005_093044_8_ets.csv"
"842729477","5001","Cherbourg","2018B00249","1","","NEW","2018-10-23 08:47:58.000","2018-10-04 00:00:00.000","Etablissement ouvert","SEP","","","","14 Maticat","","50340","Sotteville","50580","FRANCE","","","","","","","","non","non","non","2018-10-01","Plomberie, chauffage, électricité, construction, métallique","Création","","Exploitation directe","5001_380_20181023_084758_8_ets.csv"
"842729485","7802","Pontoise","2018D01241","1","","NEW","2018-10-16 08:40:31.000","2018-10-15 00:00:00.000","Etablissement ouvert","SIE","","","16 BIS Rue DU CHEMIN DES DAMES","","","95400","Arnouville-lès-Gonesse","95019","FRANCE","","","","","","","","","","","","","","","","7802_756_20181016_084031_8_ets.csv"
"842729485","7802","Pontoise","2018D01241","2","","NEW","2018-10-16 08:40:31.000","2018-10-15 00:00:00.000","Etablissement ouvert","PRI","","","16 BIS Rue DU CHEMIN DES DAMES","","","95400","Arnouville-lès-Gonesse","95019","FRANCE","","","","","","","","non","non","non","2018-10-01","Activités agricoles définies par l'article L311-1 du code rural","Création","","Exploitation directe","7802_756_20181016_084031_8_ets.csv"
"842729501","2903","Quimper","2018B00667","1","","NEW","2018-10-04 08:40:37.000","2018-10-03 00:00:00.000","Etablissement ouvert","SEP","","","","13 route de Pont l'Abbé","","29000","Quimper","29232","FRANCE","","","","","","","","non","non","non","2018-09-10","Restauration rapide sur place et à emporter (sans alcool)","Création","","Exploitation directe","2903_348_20181004_084037_8_ets.csv"
"842729501","2903","Quimper","2018B00667","1","","NEW","2018-10-11 08:55:20.000","2018-10-03 00:00:00.000","Etablissement ouvert","SEP","","","","13 route de Pont l'Abbé","","29000","Quimper","29232","FRANCE","","","","","","","","non","non","non","2018-09-10","Restauration rapide sur place et à emporter (sans alcool)","Création","","Exploitation directe","2903_353_20181011_085520_8_ets.csv"
"842729501","2903","Quimper","2018B00667","1","","NEW","2018-10-20 08:38:45.000","2018-10-03 00:00:00.000","Etablissement ouvert","SEP","","","","13 route de Pont l'Abbé","","29000","Quimper","29232","FRANCE","","","","","","","","non","non","non","2018-09-10","Restauration rapide sur place et à emporter (sans alcool)","Création","","Exploitation directe","2903_360_20181020_083845_8_ets.csv"
"842729519","2104","Dijon","2018A00837","1","","NEW","2018-10-05 08:47:05.000","2018-10-04 00:00:00.000","Etablissement ouvert","PRI","","","","7 rue Castelnau","","21000","Dijon","21231","FRANCE","","","","","","KHATER INDUSTRY","","non","non","non","2018-09-22","Vente de prêt à porter","Création","","Exploitation personnelle","2104_356_20181005_084705_8_ets.csv"
"842729519","2104","Dijon","2018A00837","1","","NEW","2018-10-13 08:33:16.000","2018-10-04 00:00:00.000","Etablissement ouvert","PRI","","","","7 rue Castelnau","","21000","Dijon","21231","FRANCE","","","","","","KHATER INDUSTRY","","non","non","non","2018-09-22","Vente de prêt à porter","Création","","Exploitation personnelle","2104_362_20181013_083316_8_ets.csv"
"842729527","702","Aubenas","2018A00668","1","","NEW","2018-10-25 08:46:47.000","2018-10-24 00:00:00.000","Etablissement ouvert","PRI","","","","136 Rue des Cévennes","","07500","Guilherand-Granges","07102","France","","","","","","Hify.fr","","non","non","non","2018-10-04","Achat/vente de matériel hifi et audiovisuel, location de matériel hifi.","Création","","Exploitation directe","0702_376_20181025_084647_8_ets.csv"
"842729527","702","Aubenas","2018A00668","1","","NEW","2019-05-22 11:08:39.000","2018-10-24 00:00:00.000","Etablissement ouvert","PRI","","","","136 Rue des Cévennes","","07500","Guilherand-Granges","07102","FRANCE","","","","","","Hify.fr","","non","non","non","2018-10-04","Achat/vente de matériel hifi et audiovisuel, location de matériel hifi.","Création","","Exploitation directe","0702_554_20190522_110839_8_ets.csv"
"842729535","702","Aubenas","2018B00614","1","","NEW","2018-10-09 08:57:34.000","2018-10-08 00:00:00.000","Etablissement ouvert","SIE","","","","les Arcis","","07470","Issarlès","07106","France","","","","","","","","","","","","","","","","0702_364_20181009_085734_8_ets.csv"
"842729535","702","Aubenas","2018B00614","1","","NEW","2019-04-27 09:00:27.000","2018-10-08 00:00:00.000","Etablissement ouvert","SIE","","","","les Arcis","","07470","Issarlès","07106","France","","","","","","","","","","","","","","","","0702_509_20190427_090027_8_ets.csv"
