"siren","code_greffe","nom_greffe","numero_gestion","id_etablissement","status","origin","file_timestamp","date_greffe","libelle_evt","type","siege_pm","rcs_registre","adresse_ligne1","adresse_ligne2","adresse_ligne3","code_postal","ville","code_commune","pays","domiciliataire_nom","domiciliataire_siren","domiciliataire_greffe","domiciliataire_complement","siege_domicile_representant","nom_commercial","enseigne","activite_ambulante","activite_saisonniere","activite_non_sedentaire","date_debut_activite","activite","origine_fonds","origine_fonds_info","type_exploitation","csv_source"
"487622797","3102","Toulouse","2005D01814","3","","Initial","2012-02-21 00:00:00.000","2012-02-21 00:00:00.000","Etablissement ouvert","SIE","","","","7 Rue Caraman","BP 67131","31071","Toulouse Cedex 7","31555","France","","","","","","","","","","","","","","","","3102_S1_20170504_8_ets.csv"
"841846488","3302","Bordeaux","2018B04331","1","","NEW","2018-08-28 05:40:50.000","2018-08-23 00:00:00.000","Etablissement ouvert","SIE","","","43 Rue du Professeur Bergonié","","","33130","Bègles","33039","FRANCE","","","","","","","","","","","","","","","","3302_771_20180828_054050_8_ets.csv"
"324958198","2402","Périgueux","1983B00051","19","","Initial","2015-05-19 00:00:00.000","2015-05-19 00:00:00.000","Etablissement ouvert","SEC","France","Agen","","6 Zone Industrielle les Gabares","","24650","Chancelade","","FRANCE","","","","","","","","non","non","non","2008-05-01","Négoce et distribution de produits pétroliers et gestion de stations services","Achat"," - récédent propriétaire exploitan - ARL PASQUIS & CIE STE D'EQUIPEMENTS & D'EXPLOITATION DES FLUIDE","Exploitation directe","2402_S1_20170504_8_ets.csv"
"812461218","7801","Evry","2015B02807","1","","Initial","2015-08-20 00:00:00.000","2015-08-20 00:00:00.000","Etablissement ouvert","SIE","","","7 Rue de l'Ancienne Eglise","","","91230","Montgeron","91421","FRANCE","","","","","","","","","","","","","","","","7801_S1_20170504_8_ets.csv"
"850414509","9401","Créteil","2019B02896","1","","NEW","2019-05-07 09:14:15.000","2019-05-02 00:00:00.000","Etablissement ouvert","SIE","","","2 Rue des Maronniers","","","94500","Champigny-sur-Marne","94017","FRANCE","","","","","","","","","","","","","","","","9401_1168_20190507_091415_8_ets.csv"
"830090478","8303","Fréjus","2017A00384","1","","EVT","2018-09-24 00:00:00.000","2018-09-25 08:51:15.000","Modifications relatives à un établissement","PRI","","","","540 rue du Docteur Donnadieu","Res les Clos les Chênes Villa 106","83600","Fréjus","83061","FRANCE","","","","","","BESSERA JONATHAN","","non","non","non","2017-06-15","Parcours de véhicules électriques pour enfant, château gonflable pour enfant","Création","","Exploitation personnelle","8303_343_20180925_085115_9_ets_nouveau_modifie_EVT.csv"
"381055581","2001","Ajaccio","1991B00050","3","IGNORE","EVT","2017-08-03 00:00:00.000","2017-08-04 06:42:48.000","Modifications relatives à un établissement","SEC","","","","2 rue Stephanopoli 3 rue Fesch","","20000","Ajaccio","","FRANCE","","","","","","","","non","non","non","1996-05-01","Activité : Vente en gros demi gros et au détail de produits corses origine du fonds : Fonds reçu en location gérance de Buresi (Antoine) Rcs à 327 935 441","Divers"," -  - ","","2001_58_20170804_064248_9_ets_nouveau_modifie_EVT.csv"
"848023602","4001","Dax","2019B00111","1","","NEW","2019-04-18 09:24:01.000","2019-02-12 00:00:00.000","Etablissement ouvert","SEP","","","","12 rue des Châtaigniers","","40150","Angresse","40004","FRANCE","","","","","","","","non","non","non","2019-02-01","Prise de participations dans des sociétés civiles ou commerciales la gestion de ces participations l'achat de biens meubles et immeubles la gestion de ces biens l'import export","Création","","Exploitation directe","4001_451_20190418_092401_8_ets.csv"
"412719692","2903","Quimper","1997D00200","0","","EVT","2018-11-06 00:00:00.000","2018-11-07 09:01:28.000","Modifications relatives à un établissement","SIE","","","","le Petit Guelen - 5, route de Kerdroniou","QUIMPER","29000","Quimper","29232","FRANCE","","","","","","","","","","","","","","","","2903_371_20181107_090128_9_ets_nouveau_modifie_EVT.csv"
"311094718","7608","Rouen","1977A01475","1","","Initial","2017-05-04 00:00:00.000","2017-05-04 00:00:00.000","Etablissement ouvert","PRI","","","","","VATTEVILLE LA RUE","76940","LA MAILLERAYE SUR SEINE","","FRANCE","","","","","","","","non","non","non","1931-04-01","MACON","Création","","Exploitation directe","7608_S1_20170504_8_ets.csv"
