"siren","siret","code_greffe","nom_greffe","numero_gestion","id_etablissement","status","origin","file_timestamp","date_greffe","libelle_evt","type","siege_pm","rcs_registre","adresse_ligne1","adresse_ligne2","adresse_ligne3","adress_new","adresse_new_clean_reg","possibilite","insee","digit_inpi","list_digit_inpi","len_digit_address_inpi","code_postal","ville","ncc","code_commune","pays","domiciliataire_nom","domiciliataire_siren","count_initial_inpi","domiciliataire_greffe","domiciliataire_complement","siege_domicile_representant","nom_commercial","enseigne","activite_ambulante","activite_saisonniere","activite_non_sedentaire","date_debut_activite","activite","origine_fonds","origine_fonds_info","type_exploitation","csv_source","index","origin_test","count_initial_insee","count_siren_siret","test_address_libelle","test_address_complement","test_join_address","test_date","test_1","test_siege","test_voie","test_numero","count_duplicates_final","count_duplicates_","test"
"811662782","81166278200010","7803","Versailles","2015B02383","2","","Initial","2015-06-02 00:00:00.000","2015-06-02 00:00:00.000","Etablissement ouvert","PRI","","","14  ter rue Georges Bourgoin","","","14  TER RUE GEORGES BOURGOIN  ","TER$|GEORGES$|BOURGOIN$"," RUE","RUE","14","","1","78260","Achères","ACHERES","78005","FRANCE","","","2","","","","","","non","non","","2015-05-29","Travaux de plomberie d'installation et maintenance d'équipements de chauffage sanitaire et de conditionnement d'air travaux d'éléctricité ","Création","","Exploitation directe","7803_S1_20170504_8_ets.csv","8027169","test_1_no_duplication","1","2.0","True","False","False","True","","False","True","True","1","1",""
"811662840","81166284000016","5906","Valenciennes","2015D00148","1","","Initial","2015-05-29 00:00:00.000","2015-05-29 00:00:00.000","Etablissement ouvert","SEP","","","2734 rue des fèves","","","2734 RUE DES FEVES  ","FEVES$"," RUE","RUE","2734","","1","59226","Lecelles","LECELLES","59335","France","","","1","","","","","","non","non","","2015-05-26","L'acquisition de tous immeubles, l'administration et l'exploitation par bail, location ou autrement desdits immeubles et de tous immeubles bâtis dont elle pourrait devenir propriétaire ultérieurement par voie d'acquisition, échange, apport ou autrement.","Création","","Divers","5906_S1_20170504_8_ets.csv","8027170","test_1_no_duplication","1","1.0","True","False","False","True","","True","True","True","1","1",""
"811662865","81166286500013","9201","Nanterre","2015B04109","1","","Initial","2016-06-07 00:00:00.000","2016-06-07 00:00:00.000","Etablissement ouvert","SIE","","","28 Rue Louis Guespin","","","28 RUE LOUIS GUESPIN  ","LOUIS$|GUESPIN$"," RUE","RUE","28","","1","92140","Clamart","CLAMART","92023","FRANCE","","","2","","","","","","","","","","","","","","9201_S1_20170504_8_ets.csv","8027171","test_1_no_duplication","1","2.0","True","False","False","True","","True","True","True","1","1",""
"811662865","81166286500013","9201","Nanterre","2015B04109","2","","Initial","2016-06-07 00:00:00.000","2016-06-07 00:00:00.000","Etablissement ouvert","PRI","","","28 Rue Louis Guespin","","","28 RUE LOUIS GUESPIN  ","LOUIS$|GUESPIN$"," RUE","RUE","28","","1","92140","Clamart","CLAMART","92023","FRANCE","","","2","","","","","","non","non","","2015-05-28","L'ingénierie, les études, le conseil.","Création","","Exploitation directe","9201_S1_20170504_8_ets.csv","8027172","test_1_no_duplication","1","2.0","True","False","False","True","","False","True","True","1","1",""
"811662873","81166287300017","7501","Paris","2015B11127","1","","Initial","2016-09-12 00:00:00.000","2016-09-12 00:00:00.000","Etablissement ouvert","SIE","","","73 boulevard Haussmann","","","73 BOULEVARD HAUSSMANN  ","HAUSSMANN$"," BOULEVARD","BD","73","","1","75008","Paris","PARIS","75108","France","","","6","","","","","","non","non","","2015-05-20","Acquérir, directement ou indirectement des participations dans toutes sociétés françaises ou étrangères ayant une activité industrielle ou commerciale, gérer ces participations les échanger ou les céder.","Création","","Exploitation directe","7501_S1_20170504_8_ets.csv","8027173","test_1_no_duplication","2","2.0","True","False","False","True","","False","True","True","1","1",""
"811662873","81166287300017","7501","Paris","2015B11127","2","","Initial","2016-09-12 00:00:00.000","2016-09-12 00:00:00.000","Etablissement ouvert","PRI","","","73 boulevard Haussmann","","","73 BOULEVARD HAUSSMANN  ","HAUSSMANN$"," BOULEVARD","BD","73","","1","75008","Paris","PARIS","75108","France","","","6","","","","","","non","non","","2015-05-20","Acquérir, directement ou indirectement des participations dans toutes sociétés françaises ou étrangères ayant une activité industrielle ou commerciale, gérer ces participations les échanger ou les céder.","Création","","Exploitation directe","7501_S1_20170504_8_ets.csv","8027174","test_1_no_duplication","2","2.0","True","False","False","True","","False","True","True","1","1",""
"811662873","81166287300025","3102","Toulouse","2017B04044","1","","NEW","2017-10-18 09:05:44.000","2017-10-17 00:00:00.000","Etablissement ouvert","SIE","","","","33-43 Avenue Georges Pompidou",""," 33 43 AVENUE GEORGES POMPIDOU ","GEORGES$|POMPIDOU$"," AVENUE","AV","33","['33', '43']","2","31130","Balma","BALMA","31044","France","","","6","","","","","","","","","","","","","","3102_113_20171018_090544_8_ets.csv","8027175","test_1_no_duplication","2","4.0","True","False","False","True","","True","True","True","1","1",""
"811662873","81166287300025","3102","Toulouse","2017B04044","1","","NEW","2017-10-21 10:05:37.000","2017-10-17 00:00:00.000","Etablissement ouvert","SIE","","","","33-43 Avenue Georges Pompidou",""," 33 43 AVENUE GEORGES POMPIDOU ","GEORGES$|POMPIDOU$"," AVENUE","AV","33","['33', '43']","2","31130","Balma","BALMA","31044","France","","","6","","","","","","","","","","","","","","3102_116_20171021_100537_8_ets.csv","8027176","test_1_no_duplication","2","4.0","True","False","False","True","","True","True","True","1","1",""
"811662873","81166287300025","3102","Toulouse","2017B04044","2","","NEW","2017-10-18 09:05:44.000","2017-10-17 00:00:00.000","Etablissement ouvert","PRI","","","","33-43 Avenue Georges Pompidou",""," 33 43 AVENUE GEORGES POMPIDOU ","GEORGES$|POMPIDOU$"," AVENUE","AV","33","['33', '43']","2","31130","Balma","BALMA","31044","France","","","6","","","","","","non","non","","2017-09-26","Acquérir directement ou indirectement des participations dans toutes sociétés françaises ou étrangères ayant une activité industrielle ou commerciale, gérer ces participations, les échanger ou les céder.","Création","","Exploitation directe","3102_113_20171018_090544_8_ets.csv","8027177","test_1_no_duplication","2","4.0","True","False","False","True","","False","True","True","1","1",""
"811662873","81166287300025","3102","Toulouse","2017B04044","2","","NEW","2017-10-21 10:05:37.000","2017-10-17 00:00:00.000","Etablissement ouvert","PRI","","","","33-43 Avenue Georges Pompidou",""," 33 43 AVENUE GEORGES POMPIDOU ","GEORGES$|POMPIDOU$"," AVENUE","AV","33","['33', '43']","2","31130","Balma","BALMA","31044","France","","","6","","","","","","non","non","","2017-09-26","Acquérir directement ou indirectement des participations dans toutes sociétés françaises ou étrangères ayant une activité industrielle ou commerciale, gérer ces participations, les échanger ou les céder.","Création","","Exploitation directe","3102_116_20171021_100537_8_ets.csv","8027178","test_1_no_duplication","2","4.0","True","False","False","True","","False","True","True","1","1",""
