siren,adresse_ligne1,adresse_ligne2,adresse_ligne3,adress_nettoyee,adresse_regex
487622797,,7 Rue Caraman,BP 67131, 7 RUE CARAMAN BP 67131,CARAMAN$
841846488,43 Rue du Professeur Bergonié,,,43 RUE DU PROFESSEUR BERGONIE  ,PROFESSEUR$|BERGONIE$
324958198,,6 Zone Industrielle les Gabares,, 6 ZONE INDUSTRIELLE LES GABARES ,ZONE$|INDUSTRIELLE$|GABARES$
812461218,7 Rue de l'Ancienne Eglise,,,7 RUE DE L ANCIENNE EGLISE  ,ANCIENNE$|EGLISE$
850414509,2 Rue des Maronniers,,,2 RUE DES MARONNIERS  ,MARONNIERS$
830090478,,540 rue du Docteur Donnadieu,Res les Clos les Chênes Villa 106, 540 RUE DU DOCTEUR DONNADIEU RES LES CLOS LES CHENES VILLA 106,DOCTEUR$|DONNADIEU$|RES$|CLOS$|CHENES$
381055581,,2 rue Stephanopoli 3 rue Fesch,, 2 RUE STEPHANOPOLI 3 RUE FESCH ,STEPHANOPOLI$|FESCH$
848023602,,12 rue des Châtaigniers,, 12 RUE DES CHATAIGNIERS ,CHATAIGNIERS$
412719692,,"le Petit Guelen - 5, route de Kerdroniou",QUIMPER, LE PETIT GUELEN   5  ROUTE DE KERDRONIOU QUIMPER,PETIT$|GUELEN$|KERDRONIOU$|QUIMPER$
311094718,,,VATTEVILLE LA RUE,  VATTEVILLE LA RUE,VATTEVILLE$
843727959,96 boulevard de la liberté,,,96 BOULEVARD DE LA LIBERTE  ,LIBERTE$
428072458,,1687 Chemin Fontanieu,, 1687 CHEMIN FONTANIEU ,FONTANIEU$
751531476,,20 Avenue Jean Jaurès,, 20 AVENUE JEAN JAURES ,JEAN$|JAURES$
421197591,72 rue Claude Bernard,,,72 RUE CLAUDE BERNARD  ,CLAUDE$|BERNARD$
785035601,15 Rue JACQUES KELLENER,,,15 RUE JACQUES KELLENER  ,JACQUES$|KELLENER$
448061358,,130 Route du Bayard,, 130 ROUTE DU BAYARD ,BAYARD$
809034994,,16 rue Dominique Ingres,, 16 RUE DOMINIQUE INGRES ,DOMINIQUE$|INGRES$
789949617,,6 le Rouerthais,, 6 LE ROUERTHAIS ,ROUERTHAIS$
480988740,,750 Rue du Dauphiné,, 750 RUE DU DAUPHINE ,DAUPHINE$
400597944,2 BIS Rue EMILE ZOLA,,,2 BIS RUE EMILE ZOLA  ,EMILE$|ZOLA$
433105335,  Chalet Les Platanes, Le Cernix,,  CHALET LES PLATANES  LE CERNIX ,CHALET$|PLATANES$|CERNIX$
519619266,,87 place d'Erlon,, 87 PLACE D ERLON ,ERLON$
848914602,,187 Avenue Jean Chaptal,, 187 AVENUE JEAN CHAPTAL ,JEAN$|CHAPTAL$
834038549,,3 Rue Achille Viadieu,Apt 27 Etg 7, 3 RUE ACHILLE VIADIEU APT 27 ETG 7,ACHILLE$|VIADIEU$|APT$|ETG$
