INSEE,possibilite
ALL, Allée
ALL, allee
ALL, ALLEE
AV, Avenue
AV, avenue
AV, AVENUE
BD, Boulevard
BD, boulevard
BD, BOULEVARD
CAR, Carrefour
CAR, carrefour
CAR, CARREFOUR
CHE, Chemin
CHE, chemin
CHE, CHEMIN
CHS, chaussee
CHS, CHAUSSEE
CHS, Chaussée
CITE, CITE
CITE, Cité
CITE, cite
COR, CORNICHE
COR, Corniche
COR, corniche
CRS, COURS
CRS, Cours
CRS, cours
DOM, DOMAINE
DOM, Domaine
DOM, domaine
DSC, DESCENTE
DSC, descente
DSC, Descente
ECA, ecart
ECA, Ecart
ECA, ECART
ESP, esplanade
ESP, Esplanade
ESP, ESPLANADE
FG, Faubourg
FG, FAUBOURG
FG, faubourg
GR, GRANDE RUE
GR, grande rue
GR, Grande Rue
HAM, HAMEAU
HAM, hameau
HAM, Hameau
HLE, HALLE
HLE, Halle
HLE, halle
IMP, Impasse
IMP, impasse
IMP, IMPASSE
LD, Lieu dit
LD, lieu dit
LD, LIEU DIT
LOT, Lotissement
LOT, LOTISSEMENT
LOT, lotissement
MAR, marche
MAR, MARCHE
MAR, Marché
MTE, MONTEE
MTE, montee
MTE, Montée
PAS, PASSAGE
PAS, passage
PAS, Passage
PL, Place
PL, PLACE
PL, place
PLN, PLAINE
PLN, Plaine
PLN, plaine
PLT, plateau
PLT, Plateau
PLT, PLATEAU
PRO, Promenade
PRO, PROMENADE
PRO, promenade
PRV, Parvis
PRV, PARVIS
PRV, parvis
QUA, Quartier
QUA, quartier
QUA, QUARTIER
QUAI, Quai
QUAI, QUAI
QUAI, quai
RES, residence
RES, Résidence
RES, RESIDENCE
RLE, ruelle
RLE, RUELLE
RLE, Ruelle
ROC, rocade
ROC, Rocade
ROC, ROCADE
RPT, rond point
RPT, ROND POINT
RPT, Rond Point
RTE, Route
RTE, route
RTE, ROUTE
RUE, RUE
RUE, rue
RUE, Rue
SEN, sente   sentier
SEN, SENTE   SENTIER
SEN, Sente - Sentier
SQ, square
SQ, SQUARE
SQ, Square
TPL, Terre-plein
TPL, terre plein
TPL, TERRE PLEIN
TRA, Traverse
TRA, TRAVERSE
TRA, traverse
VLA, villa
VLA, Villa
VLA, VILLA
VLGE, VILLAGE
VLGE, Village
VLGE, village
